trial,kernel,lengthscale1,lengthscale2,noise,rmsd_0,rmsd_40,totalrmsd,blind_fes_rmsd,blind_grad_rmsd
84,RBF,19.70520285390752,1.473775869923275,0.8412214972868696,3.040927287490005,1.9631890466508894,5.004116334140894,21.945275674626792,8.063688705021246
85,RBF,17.966117399725743,1.8067708128225393,0.8505632155848833,3.3001257596490365,2.076075117843773,5.37620087749281,21.623110742530407,8.240413802730217
86,RBF,19.742317933655716,2.5198005907431655,0.9205860041813883,3.6322327704259,2.1921420456548817,5.824374816080782,22.215351948027852,8.450275946233608
87,RBF,19.214627988431793,2.0434104779639677,0.8106092196752416,3.2418183151562747,2.2296827774059484,5.471501092562223,21.944327778927203,8.349757438961397
88,RBF,15.63139161967936,1.157085140620458,0.7780736884964342,3.3733020363737425,2.042309341007319,5.415611377381062,20.90600171641464,7.84493102470248
89,RBF,19.739955655021348,1.1772914213253725,0.8777162646490919,3.199101418434509,1.791110064680654,4.9902114831151625,22.018771349608315,7.926018468359342
90,RBF,19.795223612498347,1.2578892347802961,0.8423809932279661,3.0796484112636318,1.8928778088204021,4.972526220084034,21.977646345437073,7.960451017410128
91,RBF,19.882819336758292,0.9273482289077217,0.8262836536285183,3.4533223475466075,1.7426396276608598,5.195961975207467,22.157061486728125,7.826737117325867
92,RBF,17.181847998310058,0.4610765504376132,0.8557868339257804,5.277306492165184,1.4298598305121784,6.707166322677363,22.01270229290576,7.615240002526199
93,RBF,18.44022024778339,1.5511492628123962,0.8444774162765,3.147491360541353,1.9805410046527006,5.128032365194054,21.686255153675162,8.102454279598149
94,RBF,18.705731747477426,1.5190574685874139,0.9355867657923527,3.2760484500306206,1.783810731479077,5.059859181509697,21.80971847584011,8.083888289007904
95,RBF,18.5135697278659,1.0108173556441895,0.8917386271161531,3.5055561129652486,1.641636146491234,5.1471922594564825,21.88583302798868,7.84652131283618
96,RBF,18.942720511037603,1.12212252070913,0.36049149435007444,2.4577033645689825,3.10648778019641,5.564191144765393,21.42130764399554,7.863733809204382
97,RBF,19.598259475405143,2.0933645110629904,0.8167249253033412,3.2459254545517835,2.236091496002284,5.482016950554067,22.038093215383498,8.364180002639754
98,RBF,19.662607352228047,1.530183933646021,0.7201559791226301,2.8527580043882654,2.2328387379190477,5.085596742307313,21.852256082650186,8.096466876350757
99,RBF,2.2912583716527024,2.1008053298457514,0.9504875304027786,7.00476413737175,2.583640735211063,9.588404872582814,45.14927868454118,11.663542501374556
100,RBF,18.968323491476095,1.3096215663288877,0.8462181863274401,3.113803993913684,1.8907062598307625,5.004510253744447,21.80784952523357,7.98035251689194
101,RBF,19.82507455707935,1.7824333140030848,0.8689565961000223,3.162289279136619,2.0223573645776063,5.184646643714226,22.045264535027247,8.21858658459324
102,RBF,19.90680796037333,1.3225799548764916,0.8419112363102845,3.0469520364778946,1.9173934613021801,4.964345497780075,21.984985354691375,7.99062049753803
103,RBF,19.86218935579867,0.7380095289197154,0.8909074644512475,4.087819020084907,1.3868394208620243,5.474658440946931,22.33641922428544,7.784670664234265
104,RBF,19.9305063917684,1.6144324979360738,0.9491166715224707,3.23070594149306,1.8151294536397427,5.045835395132802,22.079306764165548,8.131597712987329
105,RBF,19.920739386626824,1.1910767316529969,0.7601642325995888,2.971957072561546,2.0433248137992237,5.0152818863607695,21.960333918288523,7.927971995427092
106,RBF,19.945111819483717,1.220285250701347,0.8855319531047324,3.1699092173609213,1.7981174127313868,4.968026630092308,22.04435070359094,7.946009678779044
107,RBF,19.26589840216251,1.2981168096198281,0.9051984478816665,3.2028987303393404,1.770564573103833,4.9734633034431734,21.913422477836942,7.978047978163951
108,RBF,17.437237352750852,0.3295124765156363,0.9685960603383189,7.01872231244742,2.3841796555345347,9.402901967981954,22.90670118008491,7.661211945414872
109,RBF,17.064765273783966,1.354772255822621,0.9776379599519807,3.5030132199497266,1.6385636043019907,5.141576824251717,21.416676073918655,7.986003691444607
110,RBF,14.476355060172104,0.8269440116126373,0.917226396081475,4.366616899948605,1.373038013791468,5.739654913740073,20.905430007971766,7.681953744309347
